path_id,time,asset_id,value
1,0.5,1,39.9184
1,0.5,2,79.2872
1,0.51,0,91.3911
1,0.51,1,41.3529
1,0.51,2,79.4155
1,0.52,0,93.0198
1,0.52,1,39.8992
1,0.52,2,80.9087
1,0.53,0,94.2677
1,0.53,1,41.3217
1,0.53,2,80.3957
1,0.54,0,96.6001
1,0.54,1,41.5893
1,0.54,2,81.1137
1,0.55,0,95.4849
1,0.55,1,40.0064
1,0.55,2,82.5982
1,0.56,0,92.0583
1,0.56,1,41.0589
1,0.56,2,78.6809
1,0.57,0,94.8659
1,0.57,1,40.1336
1,0.57,2,80.5923
1,0.58,0,93.1905
1,0.58,1,41.3643
1,0.58,2,78.6764
1,0.59,0,95.2382
1,0.59,1,42.1105
1,0.59,2,79.2895
1,0.6,0,95.4307
1,0.6,1,41.6138
1,0.6,2,80.255
1,0.61,0,92.9941
1,0.61,1,39.4504
1,0.61,2,80.1693
1,0.62,0,93.1352
1,0.62,1,40.0378
1,0.62,2,77.6909
1,0.63,0,91.0204
1,0.63,1,38.1055
1,0.63,2,77.1932
1,0.64,0,90.9901
1,0.64,1,40.0659
1,0.64,2,76.2739
1,0.65,0,89.1074
1,0.65,1,39.0666
1,0.65,2,75.4882
1,0.66,0,89.4754
1,0.66,1,39.5246
1,0.66,2,75.4101
1,0.67,0,89.6214
1,0.67,1,39.5536
1,0.67,2,77.025
1,0.68,0,90.0105
1,0.68,1,39.8301
1,0.68,2,76.772
1,0.69,0,90.9035
1,0.69,1,41.0405
1,0.69,2,77.3399
1,0.7,0,90.2977
1,0.7,1,40.611
1,0.7,2,76.5281
1,0.71,0,91.3834
1,0.71,1,40.1809
1,0.71,2,77.3137
1,0.72,0,93.6033
1,0.72,1,40.0166
1,0.72,2,78.1569
1,0.73,0,91.4162
1,0.73,1,38.6019
1,0.73,2,77.8849
1,0.74,0,87.4822
1,0.74,1,39.5516
1,0.74,2,75.9262
1,0.75,0,88.4981
1,0.75,1,41.5188
1,0.75,2,76.6223
1,0.76,0,92.2318
1,0.76,1,44.0017
1,0.76,2,74.564
1,0.77,0,91.7442
1,0.77,1,44.6592
1,0.77,2,74.7295
1,0.78,0,89.1933
1,0.78,1,43.722
1,0.78,2,72.4319
1,0.79,0,86.9923
1,0.79,1,42.2304
1,0.79,2,72.451
1,0.8,0,89.1041
1,0.8,1,44.0133
1,0.8,2,72.4388
1,0.81,0,89.9531
1,0.81,1,44.3365
1,0.81,2,73.0952
1,0.82,0,91.4659
1,0.82,1,46.9685
1,0.82,2,72.6639
1,0.83,0,91.3547
1,0.83,1,48.4612
1,0.83,2,72.6433
1,0.84,0,89.7383
1,0.84,1,49.9905
1,0.84,2,71.8099
1,0.85,0,91.1547
1,0.85,1,51.886
1,0.85,2,70.6898
1,0.86,0,91.2239
1,0.86,1,52.5804
1,0.86,2,70.2988
1,0.87,0,93.535
1,0.87,1,51.2391
1,0.87,2,69.652
1,0.88,0,97.4486
1,0.88,1,53.1745
1,0.88,2,68.7298
1,0.89,0,98.0058
1,0.89,1,52.6203
1,0.89,2,68.1696
1,0.9,0,97.9143
1,0.9,1,53.2409
1,0.9,2,69.0944
1,0.91,0,100.911
1,0.91,1,53.7111
1,0.91,2,68.5829
1,0.92,0,99.9349
1,0.92,1,53.8373
1,0.92,2,68.4942
1,0.93,0,101.377
1,0.93,1,55.1867
1,0.93,2,68.8276
1,0.94,0,102.474
1,0.94,1,54.6821
1,0.94,2,68.7676
1,0.95,0,103.024
1,0.95,1,55.9802
1,0.95,2,66.963
1,0.96,0,104.766
1,0.96,1,59.4873
1,0.96,2,65.8285
1,0.97,0,105.437
1,0.97,1,60.6526
1,0.97,2,67.5389
1,0.98,0,106.983
1,0.98,1,58.8562
1,0.98,2,70.1908
1,0.99,0,103.584
1,0.99,1,55.6279
1,0.99,2,70.5107
1,1,0,102.088
1,1,1,52.837
1,1,2,71.3427
2,0,0,100
2,0,1,50
2,0,2,75
2,0.01,0,98.5204
2,0.01,1,47.0406
2,0.01,2,76.8807
2,0.02,0,100.375
2,0.02,1,47.6852
2,0.02,2,78.8321
2,0.03,0,102.452
2,0.03,1,49.4717
2,0.03,2,79.0386
2,0.04,0,101.486
2,0.04,1,47.974
2,0.04,2,80.1171
2,0.05,0,101.458
2,0.05,1,50.0312
2,0.05,2,78.2366
2,0.06,0,101.685
2,0.06,1,47.2814
2,0.06,2,78.6807
2,0.07,0,106.832
2,0.07,1,49.1641
2,0.07,2,82.3009
2,0.08,0,104.709
2,0.08,1,47.8473
2,0.08,2,83.8528
2,0.09,0,104.478
2,0.09,1,47.8225
2,0.09,2,84.39
2,0.1,0,108.095
2,0.1,1,49.5297
2,0.1,2,85.9307
2,0.11,0,108.855
2,0.11,1,49.6677
2,0.11,2,84.4899
2,0.12,0,108.024
2,0.12,1,47.4672
2,0.12,2,86.1819
2,0.13,0,107.127
2,0.13,1,46.8604
2,0.13,2,88.0024
2,0.14,0,108.559
2,0.14,1,48.1688
2,0.14,2,89.1631
2,0.15,0,108.215
2,0.15,1,47.2865
2,0.15,2,88.9864
2,0.16,0,107.557
2,0.16,1,46.5636
2,0.16,2,88.7255
2,0.17,0,109.658
2,0.17,1,46.6929
2,0.17,2,88.4576
2,0.18,0,107.4
2,0.18,1,47.7088
2,0.18,2,85.5214
2,0.19,0,108.873
2,0.19,1,47.2325
2,0.19,2,87.6504
2,0.2,0,109.962
2,0.2,1,46.4443
2,0.2,2,88.1385
2,0.21,0,103.893
2,0.21,1,42.6642
2,0.21,2,89.2646
2,0.22,0,104.28
2,0.22,1,41.106
2,0.22,2,90.8264
2,0.23,0,102.876
2,0.23,1,41.8178
2,0.23,2,89.1613
2,0.24,0,101.062
2,0.24,1,39.6693
2,0.24,2,89.9532
2,0.25,0,101.98
2,0.25,1,39.9184
2,0.25,2,90.3243
2,0.26,0,104.29
2,0.26,1,40.7678
2,0.26,2,88.99
2,0.27,0,102.01
2,0.27,1,38.9938
2,0.27,2,87.1674
2,0.28,0,99.281
2,0.28,1,39.3716
2,0.28,2,85.5146
2,0.29,0,98.1918
2,0.29,1,41.3725
2,0.29,2,83.6189
2,0.3,0,100.374
2,0.3,1,42.833
2,0.3,2,81.7213
2,0.31,0,104.074
2,0.31,1,44.2967
2,0.31,2,85.0202
2,0.32,0,100.931
2,0.32,1,43.2918
2,0.32,2,86.4189
2,0.33,0,99.5368
2,0.33,1,42.5257
2,0.33,2,86.232
2,0.34,0,99.805
2,0.34,1,42.3045
2,0.34,2,87.0364
2,0.35,0,100.104
2,0.35,1,43.9729
2,0.35,2,87.3974
2,0.36,0,99.6404
2,0.36,1,44.2282
2,0.36,2,85.3118
2,0.37,0,96.8786
2,0.37,1,43.357
2,0.37,2,86.0784
2,0.38,0,93.6167
2,0.38,1,42.4749
2,0.38,2,86.6343
2,0.39,0,94.4892
2,0.39,1,44.6842
2,0.39,2,86.2166
2,0.4,0,96.8983
2,0.4,1,44.3299
2,0.4,2,86.8892
2,0.41,0,96.4484
2,0.41,1,43.4994
2,0.41,2,88.0786
2,0.42,0,99.1261
2,0.42,1,45.4069
2,0.42,2,88.3114
2,0.43,0,99.695
2,0.43,1,46.2438
2,0.43,2,89.3885
2,0.44,0,96.7567
2,0.44,1,46.5491
2,0.44,2,87.8081
2,0.45,0,95.5084
2,0.45,1,47.5518
2,0.45,2,86.526
2,0.46,0,97.3703
2,0.46,1,48.5854
2,0.46,2,86.246
2,0.47,0,97.4941
2,0.47,1,49.0114
2,0.47,2,85.9761
2,0.48,0,94.9411
2,0.48,1,44.5247
2,0.48,2,89.8552
2,0.49,0,96.9959
2,0.49,1,46.2724
2,0.49,2,89.0789
2,0.5,0,94.4093
2,0.5,1,47.5955
2,0.5,2,86.443
2,0.51,0,96.6306
2,0.51,1,49.8196
2,0.51,2,87.5771
2,0.52,0,96.9121
